,id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,2970458,BL0,2018-04-23 00:00:00,,,,,,
1,2970459,GR4,2018-04-23 00:00:00,3.3,1.1,5.9,,,
2,2970460,MY7,2018-04-23 00:00:00,4.5,,,,,
3,2970461,HV1,2018-04-23 00:00:00,0.1,2.9,14.4,,,
4,2970462,GN3,2018-04-23 00:00:00,1.9,6.1,10.1,,,
5,2970463,GR9,2018-04-23 00:00:00,1.1,5.5,4.4,,,
6,2970464,LW2,2018-04-23 00:00:00,4.2,11.2,24.5,,,
7,2970465,GN0,2018-04-23 00:00:00,3.3,5.1,11.8,,,
8,2970466,KF1,2018-04-23 00:00:00,2.7,4.7,,,,
9,2970467,CD9,2018-04-23 00:00:00,,,24.6,,,
10,2970468,CT3,2018-04-23 00:00:00,-6.0,5.4,,,,
11,2970469,CT2,2018-04-23 00:00:00,,,,,,
12,2970470,BX9,2018-04-23 00:00:00,2.3,,,,,
13,2970471,BX1,2018-04-23 00:00:00,,2.4,-2.4,,,
14,2970472,TH4,2018-04-23 00:00:00,4.7,12.2,18.9,,,
15,2970473,ST5,2018-04-23 00:00:00,1.0,8.0,2.9,,,
16,2970474,RB7,2018-04-23 00:00:00,2.0,12.4,7.9,,,
17,2970475,TD5,2018-04-23 00:00:00,3.1,,,,,
18,2970533,CD1,2018-04-23 02:00:00,7.1,8.4,12.4,,,
19,2970534,BL0,2018-04-23 02:00:00,,,,,,
20,2970535,GR4,2018-04-23 02:00:00,4.3,2.0,7.1,,,
21,2970536,MY7,2018-04-23 02:00:00,6.5,,,,,
22,2970537,HV1,2018-04-23 02:00:00,2.7,6.8,16.6,,,
23,2970538,GN3,2018-04-23 02:00:00,3.8,10.3,8.7,,,
24,2970539,GR9,2018-04-23 02:00:00,3.7,9.8,4.0,,,
25,2970540,LW2,2018-04-23 02:00:00,7.5,5.7,21.2,,,
26,2970541,GN0,2018-04-23 02:00:00,6.3,5.0,8.3,,,
27,2970542,KF1,2018-04-23 02:00:00,3.3,5.8,,,,
28,2970543,CD9,2018-04-23 02:00:00,,,25.7,,,
29,2970544,CT3,2018-04-23 02:00:00,,21.6,,,,
30,2970545,CT2,2018-04-23 02:00:00,,,,,,
31,2970546,BX9,2018-04-23 02:00:00,4.8,,,,,
32,2970547,BX1,2018-04-23 02:00:00,,7.5,-3.7,,,
33,2970548,TH4,2018-04-23 02:00:00,7.4,10.2,17.4,,,
34,2970549,ST5,2018-04-23 02:00:00,4.0,10.0,3.6,,,
35,2970550,RB7,2018-04-23 02:00:00,10.0,8.4,9.8,,,
36,2970551,TD5,2018-04-23 02:00:00,4.8,,,,,
37,2970589,CD1,2018-04-23 03:00:00,3.9,6.2,11.2,,,
38,2970590,BL0,2018-04-23 03:00:00,0.6,6.6,12.4,,,
39,2970591,GR4,2018-04-23 03:00:00,,,,,,
40,2970592,MY7,2018-04-23 03:00:00,7.1,,,,,
41,2970593,HV1,2018-04-23 03:00:00,6.4,11.2,20.4,,,
42,2970594,GN3,2018-04-23 03:00:00,3.1,8.0,11.4,,,
43,2970595,GR9,2018-04-23 03:00:00,2.5,8.1,6.6,,,
44,2970596,LW2,2018-04-23 03:00:00,3.1,4.5,19.3,,,
45,2970597,GN0,2018-04-23 03:00:00,4.5,8.7,11.2,,,
46,2970598,KF1,2018-04-23 03:00:00,,,,,,
47,2970599,CD9,2018-04-23 03:00:00,,,42.3,,,
48,2970600,CT3,2018-04-23 03:00:00,,15.6,,,,
49,2970601,CT2,2018-04-23 03:00:00,,,,,,
50,2970602,BX9,2018-04-23 03:00:00,3.9,,,,,
51,2970603,BX1,2018-04-23 03:00:00,,7.5,-1.6,,,
52,2970604,TH4,2018-04-23 03:00:00,4.4,10.1,15.4,,,
53,2970605,ST5,2018-04-23 03:00:00,8.0,11.0,3.5,,,
54,2970606,RB7,2018-04-23 03:00:00,8.0,8.0,10.6,,,
55,2970607,TD5,2018-04-23 03:00:00,5.4,,,,,
56,2970645,BL0,2018-04-23 01:00:00,1.3,7.7,11.9,,,
57,2970646,GR4,2018-04-23 01:00:00,4.2,4.9,8.8,,,
58,2970647,MY7,2018-04-23 01:00:00,7.8,,,,,
59,2970648,HV1,2018-04-23 01:00:00,3.6,6.8,14.6,,,
60,2970649,GN3,2018-04-23 01:00:00,1.9,5.3,8.6,,,
61,2970650,GR9,2018-04-23 01:00:00,0.8,10.0,3.6,,,
62,2970651,LW2,2018-04-23 01:00:00,6.0,15.3,20.7,,,
63,2970652,GN0,2018-04-23 01:00:00,3.4,4.9,10.0,,,
64,2970653,KF1,2018-04-23 01:00:00,3.4,5.4,,,,
65,2970654,CD9,2018-04-23 01:00:00,,,22.4,,,
66,2970655,CT3,2018-04-23 01:00:00,-2.0,4.4,,,,
67,2970656,CT2,2018-04-23 01:00:00,,,,,,
68,2970657,BX9,2018-04-23 01:00:00,3.8,,,,,
69,2970658,BX1,2018-04-23 01:00:00,,9.0,-3.2,,,
70,2970659,TH4,2018-04-23 01:00:00,6.7,11.4,15.3,,,
71,2970660,ST5,2018-04-23 01:00:00,0.0,7.0,3.2,,,
72,2970661,RB7,2018-04-23 01:00:00,5.0,8.0,7.9,,,
73,2970662,TD5,2018-04-23 01:00:00,4.1,,,,,
74,2970664,CD1,2018-04-23 04:00:00,4.4,8.5,19.6,,,
75,2970665,BL0,2018-04-23 04:00:00,,,,,,
76,2970666,GR4,2018-04-23 04:00:00,3.1,6.3,10.8,,,
77,2970667,MY7,2018-04-23 04:00:00,7.9,,,,,
78,2970668,HV1,2018-04-23 04:00:00,2.0,8.6,30.9,,,
79,2970669,GN3,2018-04-23 04:00:00,6.2,11.2,21.2,,,
80,2970670,GR9,2018-04-23 04:00:00,4.4,7.4,9.4,,,
81,2970671,LW2,2018-04-23 04:00:00,3.6,10.0,30.1,,,
82,2970672,GN0,2018-04-23 04:00:00,0.8,6.5,15.0,,,
83,2970673,KF1,2018-04-23 04:00:00,,,,,,
84,2970674,CD9,2018-04-23 04:00:00,,,60.1,,,
85,2970675,CT3,2018-04-23 04:00:00,,13.8,,,,
86,2970676,CT2,2018-04-23 04:00:00,,,,,,
87,2970677,BX9,2018-04-23 04:00:00,4.1,,,,,
88,2970678,BX1,2018-04-23 04:00:00,,7.2,4.9,,,
89,2970679,TH4,2018-04-23 04:00:00,6.7,11.0,30.0,,,
90,2970680,ST5,2018-04-23 04:00:00,6.0,8.0,9.0,,,
91,2970681,RB7,2018-04-23 04:00:00,6.0,8.8,13.1,,,
92,2970682,TD5,2018-04-23 04:00:00,1.6,,,,,
93,2970720,CD1,2018-04-23 05:00:00,7.5,9.8,28.0,,,
94,2970721,BL0,2018-04-23 05:00:00,4.1,4.6,20.8,,,
95,2970722,GR4,2018-04-23 05:00:00,2.5,8.1,20.3,,,
96,2970723,MY7,2018-04-23 05:00:00,11.1,,,,,
97,2970724,HV1,2018-04-23 05:00:00,3.1,14.1,41.3,,,
98,2970725,GN3,2018-04-23 05:00:00,3.5,10.4,34.9,,,
99,2970726,GR9,2018-04-23 05:00:00,3.5,7.6,15.5,,,
100,2970727,LW2,2018-04-23 05:00:00,5.6,16.1,57.7,,,
101,2970728,GN0,2018-04-23 05:00:00,5.4,10.5,23.0,,,
102,2970729,KF1,2018-04-23 05:00:00,3.5,6.2,,,,
103,2970730,CD9,2018-04-23 05:00:00,,,84.1,,,
104,2970731,CT3,2018-04-23 05:00:00,,10.4,,,,
105,2970732,CT2,2018-04-23 05:00:00,,,,,,
106,2970733,BX9,2018-04-23 05:00:00,5.5,,,,,
107,2970734,BX1,2018-04-23 05:00:00,,8.7,12.7,,,
108,2970735,TH4,2018-04-23 05:00:00,8.2,19.4,55.1,,,
109,2970736,ST5,2018-04-23 05:00:00,5.0,18.0,15.6,,,
110,2970737,RB7,2018-04-23 05:00:00,8.0,7.2,19.2,,,
111,2970738,TD5,2018-04-23 05:00:00,5.4,,,,,
